model_key,layer,head,k,iou_score,program_idxs_used
llama3b,0,21,5,0.525425,52|55|23|27|30
llama3b,0,21,6,0.525425,52|55|23|27|30|64
llama3b,0,21,7,0.525425,52|55|23|27|30|64|28
llama3b,0,21,8,0.525425,52|55|23|27|30|64|28|58
llama3b,0,21,9,0.525425,52|55|23|27|30|64|28|58|32
llama3b,0,21,10,0.525425,52|55|23|27|30|64|28|58|32|24
llama3b,0,22,1,0.998879,2
llama3b,0,22,2,0.998879,2|18
llama3b,0,22,3,0.998879,2|18|28
llama3b,0,22,4,0.998879,2|18|28|24
llama3b,0,22,5,0.998879,2|18|28|24|36
llama3b,0,22,6,0.998879,2|18|28|24|36|58
llama3b,0,22,7,0.998879,2|18|28|24|36|58|32
llama3b,0,22,8,0.998879,2|18|28|24|36|58|32|27
llama3b,0,22,9,0.998879,2|18|28|24|36|58|32|27|64
llama3b,0,22,10,0.998879,2|18|28|24|36|58|32|27|64|30
llama3b,0,23,1,0.997358,2
llama3b,0,23,2,0.997358,2|18
llama3b,0,23,3,0.997358,2|18|28
llama3b,0,23,4,0.997358,2|18|28|24
llama3b,0,23,5,0.997358,2|18|28|24|36
llama3b,0,23,6,0.997358,2|18|28|24|36|58
llama3b,0,23,7,0.997358,2|18|28|24|36|58|32
llama3b,0,23,8,0.997358,2|18|28|24|36|58|32|27
llama3b,0,23,9,0.997358,2|18|28|24|36|58|32|27|64
llama3b,0,23,10,0.997358,2|18|28|24|36|58|32|27|64|30
llama3b,1,0,1,0.719131,68
llama3b,1,0,2,0.743438,68|55
llama3b,1,0,3,0.744111,68|55|23
llama3b,1,0,4,0.752053,68|55|23|27
llama3b,1,0,5,0.752053,68|55|23|27|30
llama3b,1,0,6,0.752053,68|55|23|27|30|64
llama3b,1,0,7,0.752053,68|55|23|27|30|64|28
llama3b,1,0,8,0.752053,68|55|23|27|30|64|28|36
llama3b,1,0,9,0.752053,68|55|23|27|30|64|28|36|32
llama3b,1,0,10,0.752053,68|55|23|27|30|64|28|36|32|24
llama3b,1,1,1,0.530807,68
llama3b,1,1,2,0.534659,68|33
llama3b,1,1,3,0.53493,68|33|55
llama3b,1,1,4,0.53734,68|33|55|23
llama3b,1,1,5,0.549776,68|33|55|23|64
llama3b,1,1,6,0.549776,68|33|55|23|64|27
llama3b,1,1,7,0.549776,68|33|55|23|64|27|30
llama3b,1,1,8,0.549776,68|33|55|23|64|27|30|36
llama3b,1,1,9,0.549776,68|33|55|23|64|27|30|36|28
llama3b,1,1,10,0.549776,68|33|55|23|64|27|30|36|28|24
llama3b,1,2,1,0.881297,55
llama3b,1,2,2,0.881836,55|23
llama3b,1,2,3,0.88645,55|23|30
llama3b,1,2,4,0.88645,55|23|30|27
llama3b,1,2,5,0.88645,55|23|30|27|64
llama3b,1,2,6,0.88645,55|23|30|27|64|24
llama3b,1,2,7,0.88645,55|23|30|27|64|24|28
llama3b,1,2,8,0.88645,55|23|30|27|64|24|28|58
llama3b,1,2,9,0.88645,55|23|30|27|64|24|28|58|32
llama3b,1,2,10,0.88645,55|23|30|27|64|24|28|58|32|36
llama3b,1,3,1,0.700548,55
llama3b,1,3,2,0.702663,55|23
llama3b,1,3,3,0.707949,55|23|30
llama3b,1,3,4,0.707949,55|23|30|27
llama3b,1,3,5,0.707949,55|23|30|27|64
llama3b,1,3,6,0.718181,55|23|30|27|64|68
llama3b,1,3,7,0.718181,55|23|30|27|64|68|28
llama3b,1,3,8,0.718181,55|23|30|27|64|68|28|36
llama3b,1,3,9,0.718181,55|23|30|27|64|68|28|36|32
llama3b,1,3,10,0.718181,55|23|30|27|64|68|28|36|32|24
llama3b,1,4,1,0.666991,55
llama3b,1,4,2,0.67238,55|23
llama3b,1,4,3,0.67795,55|23|30
llama3b,1,4,4,0.67795,55|23|30|27
llama3b,1,4,5,0.67795,55|23|30|27|64
llama3b,1,4,6,0.67795,55|23|30|27|64|24
llama3b,1,4,7,0.67795,55|23|30|27|64|24|28
llama3b,1,4,8,0.67795,55|23|30|27|64|24|28|58
llama3b,1,4,9,0.67795,55|23|30|27|64|24|28|58|32
llama3b,1,4,10,0.67795,55|23|30|27|64|24|28|58|32|36
llama3b,1,5,1,0.760563,55
llama3b,1,5,2,0.762301,55|23
llama3b,1,5,3,0.766533,55|23|30
llama3b,1,5,4,0.766533,55|23|30|27
llama3b,1,5,5,0.766533,55|23|30|27|64
llama3b,1,5,6,0.766533,55|23|30|27|64|24
llama3b,1,5,7,0.766533,55|23|30|27|64|24|28
llama3b,1,5,8,0.766533,55|23|30|27|64|24|28|58
llama3b,1,5,9,0.766533,55|23|30|27|64|24|28|58|32
llama3b,1,5,10,0.766533,55|23|30|27|64|24|28|58|32|36
llama3b,1,6,1,0.534255,68
llama3b,1,6,2,0.539642,68|33
llama3b,1,6,3,0.560555,68|33|55
llama3b,1,6,4,0.568165,68|33|55|27
llama3b,1,6,5,0.568165,68|33|55|27|64
llama3b,1,6,6,0.568165,68|33|55|27|64|30
llama3b,1,6,7,0.585717,68|33|55|27|64|30|23
llama3b,1,6,8,0.585717,68|33|55|27|64|30|23|36
llama3b,1,6,9,0.585717,68|33|55|27|64|30|23|36|28
llama3b,1,6,10,0.585717,68|33|55|27|64|30|23|36|28|24
llama3b,1,7,1,0.917942,55
llama3b,1,7,2,0.918525,55|23
llama3b,1,7,3,0.922265,55|23|30
llama3b,1,7,4,0.922265,55|23|30|27
llama3b,1,7,5,0.922265,55|23|30|27|64
llama3b,1,7,6,0.922265,55|23|30|27|64|24
llama3b,1,7,7,0.922265,55|23|30|27|64|24|28
llama3b,1,7,8,0.922265,55|23|30|27|64|24|28|58
llama3b,1,7,9,0.922265,55|23|30|27|64|24|28|58|32
llama3b,1,7,10,0.922265,55|23|30|27|64|24|28|58|32|36
llama3b,1,8,1,0.527754,68
llama3b,1,8,2,0.540012,68|55
llama3b,1,8,3,0.541658,68|55|23
llama3b,1,8,4,0.547494,68|55|23|27
llama3b,1,8,5,0.547494,68|55|23|27|30
llama3b,1,8,6,0.547494,68|55|23|27|30|64
llama3b,1,8,7,0.547494,68|55|23|27|30|64|28
llama3b,1,8,8,0.547494,68|55|23|27|30|64|28|36
llama3b,1,8,9,0.547494,68|55|23|27|30|64|28|36|32
llama3b,1,8,10,0.547494,68|55|23|27|30|64|28|36|32|24
llama3b,1,9,1,0.801044,55
llama3b,1,9,2,0.80801,55|23
llama3b,1,9,3,0.814408,55|23|30
llama3b,1,9,4,0.814408,55|23|30|27
llama3b,1,9,5,0.814408,55|23|30|27|64
llama3b,1,9,6,0.814408,55|23|30|27|64|24
llama3b,1,9,7,0.814408,55|23|30|27|64|24|28
llama3b,1,9,8,0.814408,55|23|30|27|64|24|28|58
llama3b,1,9,9,0.814408,55|23|30|27|64|24|28|58|32
llama3b,1,9,10,0.814408,55|23|30|27|64|24|28|58|32|36
llama3b,1,10,1,0.891634,55
llama3b,1,10,2,0.892339,55|23
llama3b,1,10,3,0.894766,55|23|30
llama3b,1,10,4,0.894766,55|23|30|27
llama3b,1,10,5,0.894766,55|23|30|27|64
llama3b,1,10,6,0.894766,55|23|30|27|64|24
llama3b,1,10,7,0.894766,55|23|30|27|64|24|28
llama3b,1,10,8,0.894766,55|23|30|27|64|24|28|58
llama3b,1,10,9,0.894766,55|23|30|27|64|24|28|58|32
llama3b,1,10,10,0.894766,55|23|30|27|64|24|28|58|32|36
llama3b,1,11,1,0.876734,55
llama3b,1,11,2,0.878692,55|23
llama3b,1,11,3,0.881925,55|23|30
llama3b,1,11,4,0.881925,55|23|30|27
llama3b,1,11,5,0.881925,55|23|30|27|64
llama3b,1,11,6,0.881925,55|23|30|27|64|24
llama3b,1,11,7,0.881925,55|23|30|27|64|24|28
llama3b,1,11,8,0.881925,55|23|30|27|64|24|28|58
llama3b,1,11,9,0.881925,55|23|30|27|64|24|28|58|32
llama3b,1,11,10,0.881925,55|23|30|27|64|24|28|58|32|36
llama3b,1,12,1,0.714577,68
llama3b,1,12,2,0.722727,68|55
llama3b,1,12,3,0.724467,68|55|23
llama3b,1,12,4,0.728766,68|55|23|27
llama3b,1,12,5,0.728766,68|55|23|27|30
llama3b,1,12,6,0.728766,68|55|23|27|30|64
llama3b,1,12,7,0.728766,68|55|23|27|30|64|28
llama3b,1,12,8,0.728766,68|55|23|27|30|64|28|36
llama3b,1,12,9,0.728766,68|55|23|27|30|64|28|36|32
llama3b,1,12,10,0.728766,68|55|23|27|30|64|28|36|32|24
llama3b,1,13,1,0.667352,55
llama3b,1,13,2,0.669005,55|23
llama3b,1,13,3,0.673074,55|23|68
llama3b,1,13,4,0.681044,55|23|68|27
llama3b,1,13,5,0.681044,55|23|68|27|30
llama3b,1,13,6,0.681044,55|23|68|27|30|64
llama3b,1,13,7,0.681044,55|23|68|27|30|64|28
llama3b,1,13,8,0.681044,55|23|68|27|30|64|28|36
llama3b,1,13,9,0.681044,55|23|68|27|30|64|28|36|32
llama3b,1,13,10,0.681044,55|23|68|27|30|64|28|36|32|24
llama3b,1,14,1,0.819362,55
llama3b,1,14,2,0.821173,55|27
llama3b,1,14,3,0.823975,55|27|23
llama3b,1,14,4,0.823975,55|27|23|30
llama3b,1,14,5,0.823975,55|27|23|30|64
