Coefficients,Intercept
"[0.2750737965106964, 0.044256389141082764, 0.02636800892651081, -0.05101083219051361, 0.026368001475930214, -0.04597202688455582, 0.36923348903656006]",0.050811879336833954
"[0.46087345480918884, 0.012382911518216133, 0.0031780593562871218, -0.07353080809116364, -0.0060797096230089664, 0.043201763182878494, 0.018460536375641823]",0.025786371901631355
"[0.4939969480037689, 0.0008292193524539471, 0.01593792252242565, -0.08088842779397964, 0.04289209470152855, -0.07730687409639359, 0.025878462940454483]",0.0413329042494297
"[0.4721504747867584, 0.03774850070476532, 0.011480282060801983, -0.0070708757266402245, 0.011480296961963177, -0.003173530101776123, 0.10620405524969101]",0.026512909680604935
"[0.5313394069671631, -0.029994390904903412, 0.022523529827594757, -0.0737917572259903, 0.02252352610230446, -0.04898471757769585, 0.1399143934249878]",0.039679091423749924
"[0.4089004397392273, -0.022566884756088257, 0.03411700204014778, -0.006787429563701153, 0.03411697968840599, -0.06721137464046478, 0.2195330262184143]",0.03332485631108284
"[0.4087923765182495, -0.018856868147850037, 0.007628189865499735, 0.0037191538140177727, 0.009034796617925167, -0.006332967430353165, 0.20667123794555664]",0.011451296508312225
"[0.3680303990840912, 0.012317148968577385, 0.027117880061268806, -0.0413464717566967, 0.02563253790140152, -0.052081432193517685, 0.011821361258625984]",0.03602825477719307
"[0.434309184551239, -0.056019291281700134, 0.0022862404584884644, -0.0688691958785057, 0.0022862404584884644, 0.005444499664008617, 0.23645178973674774]",0.03416234999895096
"[0.5006282925605774, -0.0031082257628440857, 0.02853468991816044, 0.02540842816233635, -0.003093574196100235, -0.02276434563100338, 0.06503107398748398]",0.019493509083986282
"[0.49394989013671875, 0.0008468776941299438, 0.03951732814311981, -0.0016441498883068562, 0.0016534250462427735, -0.03143640607595444, 0.07285477966070175]",0.03263525292277336
"[0.42774662375450134, 0.0027465340681374073, 0.005474742501974106, -0.12663114070892334, 0.005474790930747986, 0.013391739688813686, 0.05749441310763359]",0.06825581938028336
"[0.39966902136802673, -0.018132388591766357, 0.009265132248401642, -0.017052514478564262, 0.05612434819340706, -0.06969545036554337, 0.15764175355434418]",0.032145339995622635
"[0.33730483055114746, -0.004971012473106384, 0.026413248851895332, 0.01596054434776306, 0.029045315459370613, -0.06190689280629158, 0.17565728724002838]",0.02297603338956833
